Actor_ID,Actor_Name,# times in DS
1835895,Mayako Torigai,1
1835894,Elke Ritschel,1
1835893,Lou-Anne Ronchi,1
1835892,Gloria Douse,1
1835891,Paula Thomas,1
1835890,Nike Clark,1
1835889,Caroline Hallett,1
1835888,Sian Adey-Jones,1
1835887,Peter Ensor,1
1835886,Taylor McAuley,1
1835885,Gerard Bühr,1
1835883,Dominique Risbourg,1
1835594,David Bovill,1
1835593,Jackie Joyner,1
1835592,Tristan Martin,1
1835591,Tassos Stevens,1
1835590,Guy Greenway,1
1835589,Darren Ormandy,1
1835588,Nicolas Carlotti,1
1834699,Darrell Wallace Jr.,1
1834697,Daniel Suárez,1
1834695,Shannon Spake,1
1834693,Ryan Blaney,1
1834691,Chase Elliott,1
1834121,Matthew Davison,1
1834120,Marcus Barrington,1
1834117,Gabie Chavis,1
1834116,Benea Ousley,1
1834115,Tristan Hook,1
1834070,Dino Tosques,1
1833242,Joyce Ebert,1
1832573,Megha Gupta,1
1832363,Glen Adams,1
1832336,Steve Pelot,1
1832086,Jack Walsh,1
1831995,Daniel James,1
1831853,Michael Cromien,1
1831703,Lindsay-Elizabeth Hand,1
1831693,Maya Ri Sanchez,1
1831379,Martin Bishop,1
1831105,Nicolina Papetti,1
1830654,Janine Jordae,1
1830631,Duchange,1
1830630,Josep Llorens Artigas,1
1830629,Caridad de Laberdesque,1
1830530,Paul Hansard,1
1830044,Andres Orozco,1
1829735,Mimi Gould,1
1829734,Mira Silverman,1
1829733,Kimberli Lincoln,1
1829730,Wyatt Walters,1
1829344,Pam Levine,1
1829343,Joseph Tiboni,1
1829339,Sophie Kindred,1
1829338,Penelope Kindred,1
1829090,Aisha Cain,1
1829089,Astrid Swan,1
1829048,Justin Kornmann,1
1829026,Sabine Varnes,1
1828992,Danny Nero,1
1828910,Dennis ,1
1828253,Patrick Russo,1
1827742,Lee Michelsen,1
1827518,Zia Harris,1
1826457,Samuel Hubinette,1
1826261,Joe Klecko,1
1826256,Kathleen M. Shea,1
1825508,Wynonna Smith,1
1825507,Maurice Hines,1
1825405,Paul Hunter,1
1825137,Scott Loeser,1
1825136,Remington Steele,1
1825134,Danya Bateman,1
1825133,Alexis Humphrey,1
1825105,Frederick C. Johnson Jr.,1
1825104,Gaby Leyner,1
1824351,Alexander von der Groeben,1
1824350,Jirí Simek,1
1823538,Nicholas Grabowsky,1
1823536,Mike Carlucci,1
1823535,Richard Szponder,1
1823534,Peter Brooks,1
1823532,Cindi Eyman,1
1822259,Charlotte Van Ierland,1
1822256,Brian Stivale,1
1822254,Errol Sack,1
1822251,Aleksandra Rastovic,1
1822221,Rorke,1
1822220,Pedram Navab,1
1822219,Kerstin Lechner,1
1822213,Holly Kagis,1
1822212,Victor Ross II,1
1822197,Lena Evans,1
1822194,Deirdre DuPont,1
1822192,Angelina Duplisea,1
1822191,Jack Dilday,1
1822190,Bryan Cruz,1
1822189,Evan Charles,1
1822186,Sydney Schafer,1
1822160,Philipp Rafferty,1
1822015,Axel Devillers,1
1822014,Baptiste Goy,1
1821938,Joanna Ampil,1
1821919,Michele Thevenet,1
1821909,Safa Idriss Nour,1
1821877,Nigel Betts,1
1821868,Matthew Alexander Kaufman,1
1821864,Soraya Omar-Scego,1
1821747,Michelle Woods,1
1821685,Becca Marks,1
1821681,Carl J. Walker,1
1821232,Ben Fox,1
1821165,D.J. Bailey,1
1821068,Andreas Dubois,1
1820643,Michael Harrity,1
1820006,Dorothy Rutherford,1
1820005,Breanna Dolen,1
1820004,Whitney Hudson,1
1820003,Leah Bliven,1
1820002,Dante Shafer,1
1820001,Alex Pulling,1
1820000,Trevor Jackson Campbell,1
1819999,Travis Jackson Campbell,1
1819858,Alan Bergmann,1
1819817,Buffie Carruth,1
1819573,Grace Netter,1
1819572,Kayla Fielding,1
1819469,Thiago Martins,1
1818398,Catherine Chen,1
1818315,Vincenzo Pellegrino,1
1818135,Sumire Matsubara,1
1818133,Amélie Eve,1
1818113,Philip Marshall,1
1817689,Carl Toop,1
1817341,Christine Wolf,1
1817339,Melanie Stovall,1
1817337,Ryan Schneider,1
1817336,Nicole R. Roberts,1
1817335,George Renteria,1
1817334,Glen Powell Sr.,1
1817332,Roger Eduardo Palomino,1
1817330,Cindy Palla,1
1817329,Brent Mitchell,1
1817328,Frank Matthews,1
1817327,Gabriel R. Martinez,1
1817326,Robert H. Lambert,1
1817325,Landon Kash,1
1817324,Reda Hicks,1
1817323,Ryan Hancock,1
1817322,Joanna Gallagher,1
1817321,Nikki Folsom,1
1817320,Matthew J. Dunn,1
1817319,Constance Dasse,1
1817318,Steve Crawford,1
1817317,Wade Couturiaux,1
1817315,Dian Childs,1
1817314,Pei-San Brown,1
1817313,Ryan Brooks,1
1817312,Keith Bright,1
1817311,Richard R. Bartholomew,1
1817310,Jerry M. Barker,1
1817309,Stacy Lynn Austin,1
1817306,Evelyn Lindsey,1
1817305,Steve Flanagin,1
1817304,Nick Dawson,1
1817303,Tanya Zieger,1
1817299,Michelle Valen,1
1817298,Catenya McHenry,1
1817296,David Dahl,1
1817295,Justin Lavender,1
1817294,Mark Richardson,1
1817291,Claudia Parker,1
1817289,Pilar Ferreiro,1
1817288,Patrick Fries,1
1817285,Jack Watkins,1
1817284,Jack Gould,1
1817283,Donald Braswell,1
1817281,Julia Kay-Laskowski,1
1817280,Rick Morrow,1
1817279,Brenda Sendejo,1
1817277,Maurice Moore,1
1817272,Jennifer Dorsey,1
1817268,Cindy Michelle,1
1817258,Katherine James,1
1817256,Katina Potts,1
1817254,Chris Drewy,1
1817246,Mike Fontaine,1
1817245,Chuck Cureau,1
1817239,Noah Truesdale,1
1817236,Katie Lott,1
1817224,Kimberly Tortorice,1
1817216,Cindy Waite,1
1817204,Constance Jones,1
1816649,Maung Maung Khin,1
1816645,Aung Theng,1
1816630,Robert Metcalfe,1
1816628,Raimund Stamm,1
1816501,James Bye,1
1816463,Orla Guerin,1
1816462,Elly Jackson,1
1816455,Indeyarna Donaldson-Holness,1
1816451,Ren Croney,1
1816404,James Augustus Lee,1
1816403,Leslie A. Hughes,2
1815855,Lauren Schuchman,1
1815847,Raquel Bell,1
1815845,Derek Anunciation,1
1815740,Steven Loton,1
1815657,Christina Konstantinidis,1
1815573,Takato Yamashita,1
1815542,Nancy McAlear,1
1815363,David Scott Heck,1
1815277,Kathryn Holcomb,1
1814922,Kayla Mengelgrein,1
1814921,Eden Mengelgrein,1
1814893,Rod J. Pierce,1
1814491,Chris Lindsay,1
1814427,Tom Gehrke,1
1814425,Alain Hocquenghem,1
1814002,Christopher Sileo,1
1814001,Michael Santini,1
1814000,Ryan Pablo Foster,1
1813998,Luke Hawk,1
1813997,Michael Yahn,1
1813996,Mike Dawson,1
1813995,Aaron Matthews,1
1813988,Lindsey Pelas,1
1813987,Hwan Tran,1
1813985,Jacques L. Devore,1
